Unnamed: 0,datetime,open,high,low,close,volume,shadow,abs_diff,avg_abs_diff_15d,new_column,signal_1,HL,HC,LC,TR,ATR,Upper Band,Lower Band,Supertrend,In Uptrend,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Chikou Span,Buy Signal,Sell Signal,signal_2,combined_signal,signal,signals,trade_type
1469,2023-09-16,26591.1,26763.5,26430.0,26546.9,140482.465,2.6447963800907046,44.19999999999709,652.5367439829554,0.0,0,333.5,172.40000000000146,161.09999999999854,333.5,780.7800000000003,28939.09,25047.94,25047.94,True,25889.0,26528.0,26208.5,27415.5,26115.4,True,False,1,1.0,1,0,hold
1470,2023-09-17,26547.0,26614.3,26377.4,26514.2,114239.394,4.1707317073171435,32.79999999999927,653.4411011756158,0.0,0,236.89999999999782,67.39999999999782,169.5,236.89999999999782,535.4400000000002,28102.17,25047.94,25047.94,True,25889.0,26528.0,26208.5,27415.5,26044.4,True,False,1,1.0,1,0,hold
1471,2023-09-18,26514.2,27397.0,26358.6,26749.9,472539.032,-2.745439117522259,235.70000000000073,657.7167662726313,0.0,0,1038.4000000000015,882.7999999999993,155.60000000000218,1038.4000000000015,613.1200000000005,28717.16,25047.94,25047.94,True,26142.5,26528.0,26335.25,27415.5,26419.2,True,False,1,1.0,1,0,hold
1472,2023-09-19,26749.9,27480.0,26653.2,27196.0,433511.747,-0.6366285586191458,446.09999999999854,685.7583719028144,0.0,0,826.7999999999993,730.0999999999985,96.70000000000073,826.7999999999993,623.8,28938.0,25195.199999999997,25195.199999999997,True,26184.0,26528.0,26356.0,27415.5,26164.6,True,False,1,1.0,1,0,hold
1473,2023-09-20,27195.9,27381.0,26740.0,27107.7,348921.447,4.168934240362786,88.20000000000073,683.580327654918,0.0,0,641.0,185.0,456.0,641.0,615.3199999999997,28906.46,25214.54,25214.54,True,26298.2,26528.0,26413.1,27415.5,26051.7,True,False,1,1.0,1,0,hold
1474,2023-09-21,27107.7,27149.0,26360.1,26552.6,317992.869,0.3467843631778044,555.1000000000022,722.9896455863379,0.0,0,788.9000000000015,41.29999999999927,747.6000000000022,788.9000000000015,706.4,28873.75,25214.54,25214.54,True,26615.0,26528.0,26571.5,27415.5,26004.3,False,False,0,0.0,0,0,hold
1475,2023-09-22,26552.6,26737.7,26452.9,26566.7,173534.648,-12.127659574466207,14.100000000002183,697.5830889046065,0.0,0,284.7999999999993,185.10000000000218,99.69999999999709,284.7999999999993,715.9800000000002,28743.240000000005,25214.54,25214.54,True,26793.3,26528.0,26660.65,27415.5,26087.7,False,False,0,0.0,0,0,hold
1476,2023-09-23,26566.7,26620.6,26492.2,26563.1,57836.484,19.6944444444319,3.600000000002183,689.1818484450719,0.0,0,128.39999999999782,53.89999999999782,74.5,128.39999999999782,533.9799999999996,28158.34,25214.54,25214.54,True,26843.3,26528.0,26685.65,27415.5,26106.5,False,False,0,0.0,0,0,hold
1477,2023-09-24,26563.0,26739.9,26081.0,26232.4,146632.773,0.4579552329098673,330.59999999999854,696.7558724761087,0.0,0,658.9000000000015,176.8000000000029,482.09999999999854,658.9000000000015,500.4,27911.65,25214.54,25214.54,True,26780.5,26323.1,26551.8,27415.5,27700.1,False,False,0,0.0,0,0,hold
1478,2023-09-25,26232.4,26440.0,25965.0,26290.5,268385.836,-2.5731497418245053,58.099999999998545,697.0012894560728,0.0,0,475.0,207.59999999999854,267.40000000000146,475.0,467.2,27604.1,25214.54,25214.54,True,26722.5,26281.15,26501.825,27415.5,27290.4,False,False,0,0.0,0,0,hold
